roman,titreLabel,authorLabel
http://www.wikidata.org/entity/Q65171252,,Nhật Ánh Nguyêñ
http://www.wikidata.org/entity/Q65344522,,Hadi AKS
http://www.wikidata.org/entity/Q65565270,La Quitera,Dolors Monserdà i Vidal
http://www.wikidata.org/entity/Q65568281,La familia Asparó,Dolors Monserdà i Vidal
http://www.wikidata.org/entity/Q66817684,De heilige Rita,Tommy Wieringa
http://www.wikidata.org/entity/Q67432320,عجیب آدمی۔,Ismat Chughtai
http://www.wikidata.org/entity/Q74125424,Mage: Such Pain,Don Bassingthwaite
http://www.wikidata.org/entity/Q74241659,,Shūichi Yoshida
http://www.wikidata.org/entity/Q75135725,,Ye Zhaoyan
http://www.wikidata.org/entity/Q76858060,Legado en los huesos,Dolores Redondo
http://www.wikidata.org/entity/Q76858060,De chair et d'os,Dolores Redondo
http://www.wikidata.org/entity/Q76905815,Llio Plas y Nos,R. Silyn Roberts
http://www.wikidata.org/entity/Q77067167,Dlouhý lovec,Alberto Vojtěch Frič
http://www.wikidata.org/entity/Q77069860,Strýček Indián,Alberto Vojtěch Frič
http://www.wikidata.org/entity/Q80283843,"Den, der lever stille",Leonora Christina Skov
http://www.wikidata.org/entity/Q84991079,,Denzil Meyrick
http://www.wikidata.org/entity/Q85739310,,Robert Smythe Hichens
http://www.wikidata.org/entity/Q85745391,,Robert Smythe Hichens
http://www.wikidata.org/entity/Q85746443,,Robert Smythe Hichens
http://www.wikidata.org/entity/Q85756129,,Robert Smythe Hichens
http://www.wikidata.org/entity/Q85806701,,Robert Smythe Hichens
http://www.wikidata.org/entity/Q85807075,,
http://www.wikidata.org/entity/Q85807249,,Robert Smythe Hichens
http://www.wikidata.org/entity/Q85807292,,Victor Canning
http://www.wikidata.org/entity/Q85807665,,Ethel M. Dell
http://www.wikidata.org/entity/Q85882538,,
http://www.wikidata.org/entity/Q85984825,,
http://www.wikidata.org/entity/Q86000946,,Mykola Trublaini
http://www.wikidata.org/entity/Q88636275,Space Relations: A Slightly Gothic Interplanetary Tale,Donald Barr
http://www.wikidata.org/entity/Q89461972,Der Hund des Propheten,Ulrich Ritzel
http://www.wikidata.org/entity/Q90823006,Requiem,Alpheratz
http://www.wikidata.org/entity/Q90887098,Jeg nekter å tenke,Lotta Elstad
http://www.wikidata.org/entity/Q93072217,Bedebah di Ujung Tanduk,Tere Liye
http://www.wikidata.org/entity/Q95189997,The Glorious Heresies,Lisa McInerney
http://www.wikidata.org/entity/Q95191251,The Blood Miracles,Lisa McInerney
http://www.wikidata.org/entity/Q95979950,Los mil años de Elena Fortún. Magerit,Eusebio de Gorbea Lemmi
http://www.wikidata.org/entity/Q95994112,"অৰ্ণৱ, আস্থা আৰু JEC",
http://www.wikidata.org/entity/Q96237103,,Eva Menasse
http://www.wikidata.org/entity/Q96371686,,Terry Fallis
http://www.wikidata.org/entity/Q96390978,,Eleanor Smith
http://www.wikidata.org/entity/Q96392267,,Ngugi wa Thiong'o
http://www.wikidata.org/entity/Q96408590,The Devil Wives of Li Fong,E. Hoffmann Price
http://www.wikidata.org/entity/Q96410168,,Mildred Downey Broxon
http://www.wikidata.org/entity/Q96972749,,Okechukwu Nzelu
http://www.wikidata.org/entity/Q97160307,,
http://www.wikidata.org/entity/Q97173155,,Frederik Pohl
http://www.wikidata.org/entity/Q97199624,,Jarkko Sipilä
http://www.wikidata.org/entity/Q97210849,,
http://www.wikidata.org/entity/Q97242953,,
http://www.wikidata.org/entity/Q97243247,,Q110113599
http://www.wikidata.org/entity/Q97313766,,
http://www.wikidata.org/entity/Q97781642,حب خارج البرد,kamel farhan saleh
http://www.wikidata.org/entity/Q99777276,Djinn Patrol on the Purple Line,Deepa Anappara
http://www.wikidata.org/entity/Q99904309,,Jacques Roumain
http://www.wikidata.org/entity/Q99905108,,Louis-Joseph Janvier
http://www.wikidata.org/entity/Q100892254,,Fernando Butazzoni
http://www.wikidata.org/entity/Q101166601,1000 Serpentinen Angst,Olivia Wenzel
http://www.wikidata.org/entity/Q102063000,,Na. Parthasarathy
http://www.wikidata.org/entity/Q102064181,,Rajam Krishnan
http://www.wikidata.org/entity/Q102305993,,Q12984343
http://www.wikidata.org/entity/Q102306464,,Ponneelan
http://www.wikidata.org/entity/Q102306768,,Rajam Krishnan
http://www.wikidata.org/entity/Q104520894,天官赐福,
http://www.wikidata.org/entity/Q17562770,Skaza,Magdalena Tulli
http://www.wikidata.org/entity/Q17631903,,Yambo
http://www.wikidata.org/entity/Q17639435,,Lee Child
